"main","pairing"
"ALLSPICE","garlic"
"ALLSPICE","ginger"
"ALLSPICE","goat"
"ALLSPICE","grains"
"ALLSPICE","ham"
"ALLSPICE","herring, pickled"
"ALLSPICE","Indian cuisine"
"ALLSPICE","JAMAICAN CUISINE (e.g., jerk dishes)"
"ALLSPICE","ketchup"
"ALLSPICE","lamb"
"ALLSPICE","mace"
"ALLSPICE","MEATS, red, esp. braised, grilled, or roasted"
"ALLSPICE","Mexican cuisine"
"ALLSPICE","Middle Eastern cuisine"
"ALLSPICE","mushrooms"
"ALLSPICE","mustard"
"ALLSPICE","North American cuisine"
"ALLSPICE","nutmeg"
"ALLSPICE","nuts"
"ALLSPICE","onions"
"ALLSPICE","pepper, black"
"ALLSPICE","pies"
"ALLSPICE","pineapple"
"ALLSPICE","pork"
"ALLSPICE","PUMPKIN"
"ALLSPICE","rabbit"
"ALLSPICE","rice"
"ALLSPICE","rosemary"
"ALLSPICE","salsas and sauces"
"ALLSPICE","sauerkraut"
"ALLSPICE","sausages"
"ALLSPICE","soups"
"ALLSPICE","spiced cakes"
"ALLSPICE","spinach"
"ALLSPICE","squash, winter"
"ALLSPICE","stews"
"ALLSPICE","stocks and broths, chicken"
"ALLSPICE","sweet potatoes"
"ALLSPICE","thyme"
"ALLSPICE","tomatoes"
"ALLSPICE","turnips"
"ALLSPICE","vegetables, esp. root"
"ALLSPICE","West Indies cuisine"
"ALLSPICE","Flavor Affinities"
"ALLSPICE","allspice + beef + onions"
"ALLSPICE","allspice + garlic + pork"
"ALMONDS","Taste: sweet"
"ALMONDS","Botanical relatives: peaches"
"ALMONDS","Function: warming"
"ALMONDS","Weight: medium"
"ALMONDS","Volume: quiet"
"ALMONDS","amaretto"
"ALMONDS","anise, esp. green"
"ALMONDS","apples"
"ALMONDS","apricots"
"ALMONDS","beans"
"ALMONDS","blackberries"
"ALMONDS","brandy"
"ALMONDS","BUTTER, UNSALTED"
"ALMONDS","butterscotch"
"ALMONDS","caramel"
"ALMONDS","cardamom"
"ALMONDS","cayenne"
"ALMONDS","cheese: goat, manchego, ricotta"
"ALMONDS","cherries, esp. sour"
"ALMONDS","chicken"
"ALMONDS","CHOCOLATE: DARK, MILK"
"ALMONDS","chocolate, white"
"ALMONDS","cinnamon"
"ALMONDS","coconut"
"ALMONDS","coffee"
"ALMONDS","cornmeal"
"ALMONDS","corn syrup"
"ALMONDS","crab"
"ALMONDS","cranberries"
"ALMONDS","CREAM"
"ALMONDS","cream cheese"
"ALMONDS","crème fraîche"
"ALMONDS","crust: pastry, pie"
"ALMONDS","currants"
"ALMONDS","figs"
"ALMONDS","fish"
"ALMONDS","French pastries"
"ALMONDS","fruits, most"
"ALMONDS","garlic"
"ALMONDS","grapes"
"ALMONDS","Greek cuisine"
"ALMONDS","greens, salad"
"ALMONDS","hazelnuts"
"ALMONDS","HONEY"
"ALMONDS","ice cream"
"ALMONDS","Indian cuisine"
"ALMONDS","Italian sauces"
"ALMONDS","lamb"
"ALMONDS","lavender"
"ALMONDS","lemon: juice, zest"
"ALMONDS","liqueurs, fruit (including orange)"
"ALMONDS","mascarpone"
"ALMONDS","Mediterranean cuisine"
"ALMONDS","Mexican beverages and mole sauces"
"ALMONDS","milk, sweetened condensed"
"ALMONDS","molasses"
"ALMONDS","Moroccan cuisine"
"ALMONDS","nectarines"
"ALMONDS","oats"
"ALMONDS","olive oil"
"ALMONDS","olives"
"ALMONDS","orange: juice, zest"
"ALMONDS","paprika"
"ALMONDS","passion fruit"
"ALMONDS","peaches"
"ALMONDS","pears"
"ALMONDS","pecans"
"ALMONDS","pepper, ground"
"ALMONDS","pine nuts"
"ALMONDS","plums"
"ALMONDS","praline"
"ALMONDS","prunes"
"ALMONDS","quince"
"ALMONDS","raisins, esp. white"
"ALMONDS","raspberries"
"ALMONDS","rhubarb"
"ALMONDS","rice"
"ALMONDS","rosemary"
"ALMONDS","rum"
"ALMONDS","salt: kosher, sea"
"ALMONDS","shellfish"
"ALMONDS","sherry"
"ALMONDS","Spanish cuisine, esp. sauces"
"ALMONDS","strawberries"
"ALMONDS","sugar: brown, white"
"ALMONDS","tea"
"ALMONDS","Turkish cuisine"
"ALMONDS","VANILLA"
"ALMONDS","walnuts"
"ALMONDS","Flavor Affinities"
"ALMONDS","almonds + chocolate + coconut"
"ALMONDS","almonds + coffee + orange"
"ALMONDS","almonds + green anise + figs"
"ALMONDS","almonds + honey + orange zest + raisins"
"AMARETTO (sweet almond liqueur)","almonds"
"AMARETTO (sweet almond liqueur)","apricots"
"AMARETTO (sweet almond liqueur)","butter"
"AMARETTO (sweet almond liqueur)","cherries"
"AMARETTO (sweet almond liqueur)","chocolate"
"AMARETTO (sweet almond liqueur)","coffee"
"AMARETTO (sweet almond liqueur)","cream"
"AMARETTO (sweet almond liqueur)","hazelnuts"
"AMARETTO (sweet almond liqueur)","Italian cuisine"
"AMARETTO (sweet almond liqueur)","peaches"
"AMARETTO (sweet almond liqueur)","pork"
"AMARETTO (sweet almond liqueur)","sugar"
"ANCHOVIES","Taste: salty"
"ANCHOVIES","Weight: light"
"ANCHOVIES","Volume: loud"
"ANCHOVIES","almonds"
"ANCHOVIES","basil"
"ANCHOVIES","beans, green"
"ANCHOVIES","bell peppers, esp. roasted"
"ANCHOVIES","capers"
"ANCHOVIES","carrots"
"ANCHOVIES","cauliflower"
"ANCHOVIES","celery"
"ANCHOVIES","cheese: manchego, mozzarella, Parmesan"
"ANCHOVIES","chives"
"ANCHOVIES","eggs, hard-boiled"
"ANCHOVIES","fennel"
"ANCHOVIES","GARLIC"
"ANCHOVIES","lemon, juice"
"ANCHOVIES","lobster"
"ANCHOVIES","mayonnaise"
"ANCHOVIES","Mediterranean cuisine"
"ANCHOVIES","mustard (e.g., Dijon)"
"ANCHOVIES","nectarines"
"ANCHOVIES","OLIVE OIL"
"ANCHOVIES","olives (e.g., black, green, niçoise)"
"ANCHOVIES","onions"
"ANCHOVIES","orange, zest"
"ANCHOVIES","parsley, flat-leaf"
"ANCHOVIES","pasta"
"ANCHOVIES","pepper: black, white"
"ANCHOVIES","peppers, piquillo"
"ANCHOVIES","pizza"
"ANCHOVIES","potatoes"
"ANCHOVIES","puttanesca sauce (key ingredient)"
"ANCHOVIES","red pepper flakes"
"ANCHOVIES","romaine lettuce"
"ANCHOVIES","rosemary"
"ANCHOVIES","salads, esp. Caesar (key ingredient)"
"ANCHOVIES","salmon"
"ANCHOVIES","salt: kosher, sea"
"ANCHOVIES","shallots"
"ANCHOVIES","sherry, PX"
"ANCHOVIES","tapenade (key ingredient)"
"ANCHOVIES","thyme"
"ANCHOVIES","tomatoes"
"ANCHOVIES","tuna"
"ANCHOVIES","vinegar: champagne, red wine, sherry"
"ANCHOVIES","Flavor Affinities"
"ANCHOVIES","anchovies + lemon + olive oil + rosemary"
"ANGELICA","Taste: bitter, sweet"
"ANGELICA","Volume: loud"
"ANGELICA","Tips: Add late in cooking; use in baking."
"ANGELICA","Use to balance high-acid fruit, to reduce the need for sweeteners."
"ANGELICA","almonds"
"ANGELICA","anise"
"ANGELICA","apricots"
"ANGELICA","candy"
"ANGELICA","cream and ice cream"
"ANGELICA","custards"
"ANGELICA","desserts"
"ANGELICA","fish"
"ANGELICA","fruits"
"ANGELICA","ginger: fresh, candied"
"ANGELICA","hazelnuts"
"ANGELICA","juniper berries"
"ANGELICA","lavender"
"ANGELICA","lemon balm"
"ANGELICA","liqueurs"
"ANGELICA","mushrooms"
"ANGELICA","nutmeg"
"ANGELICA","oranges"
"ANGELICA","pepper, black"
"ANGELICA","plums"
"ANGELICA","*RHUBARB"
"ANGELICA","salads"
"ANGELICA","shellfish"
"ANGELICA","strawberries"
"ANGELICA","Flavor Affinities"
"ANGELICA","angelica + cream + rhubarb"
"ANISE (See also Anise, Star, and Fennel)","Function: warming"
"ANISE (See also Anise, Star, and Fennel)","Weight: light–medium"
"ANISE (See also Anise, Star, and Fennel)","Volume: moderate–loud"
"ANISE (See also Anise, Star, and Fennel)","Tips: Add early in cooking."
"ANISE (See also Anise, Star, and Fennel)","allspice"
"ANISE (See also Anise, Star, and Fennel)","almonds"
"ANISE (See also Anise, Star, and Fennel)","apples"
"ANISE (See also Anise, Star, and Fennel)","baked goods, esp. cakes, cookies"
"ANISE (See also Anise, Star, and Fennel)","beets"
"ANISE (See also Anise, Star, and Fennel)","breads, esp. rye"
"ANISE (See also Anise, Star, and Fennel)","cabbage"
"ANISE (See also Anise, Star, and Fennel)","cakes"
"ANISE (See also Anise, Star, and Fennel)","cardamom"
"ANISE (See also Anise, Star, and Fennel)","carrots"
"ANISE (See also Anise, Star, and Fennel)","cauliflower"
"ANISE (See also Anise, Star, and Fennel)","cheese, esp. goat and ricotta"
"ANISE (See also Anise, Star, and Fennel)","chestnuts"
"ANISE (See also Anise, Star, and Fennel)","Chinese cuisine"
"ANISE (See also Anise, Star, and Fennel)","cinnamon"
"ANISE (See also Anise, Star, and Fennel)","cloves"
"ANISE (See also Anise, Star, and Fennel)","coffee"
"ANISE (See also Anise, Star, and Fennel)","cookies"
"ANISE (See also Anise, Star, and Fennel)","crab"
"ANISE (See also Anise, Star, and Fennel)","cream"
"ANISE (See also Anise, Star, and Fennel)","cumin"
"ANISE (See also Anise, Star, and Fennel)","dates"
"ANISE (See also Anise, Star, and Fennel)","desserts"
"ANISE (See also Anise, Star, and Fennel)","duck"
"ANISE (See also Anise, Star, and Fennel)","fennel seeds"
"ANISE (See also Anise, Star, and Fennel)","figs"
"ANISE (See also Anise, Star, and Fennel)","FISH"
"ANISE (See also Anise, Star, and Fennel)","fruit"
"ANISE (See also Anise, Star, and Fennel)","garlic"
"ANISE (See also Anise, Star, and Fennel)","ginger"
"ANISE (See also Anise, Star, and Fennel)","hazelnuts"
"ANISE (See also Anise, Star, and Fennel)","lemon"
"ANISE (See also Anise, Star, and Fennel)","lentils"
"ANISE (See also Anise, Star, and Fennel)","mayonnaise"
"ANISE (See also Anise, Star, and Fennel)","Mediterranean cuisine"
"ANISE (See also Anise, Star, and Fennel)","melon"
"ANISE (See also Anise, Star, and Fennel)","Middle Eastern cuisine"
"ANISE (See also Anise, Star, and Fennel)","mole sauce"
"ANISE (See also Anise, Star, and Fennel)","Moroccan cuisine"
"ANISE (See also Anise, Star, and Fennel)","mussels"
"ANISE (See also Anise, Star, and Fennel)","nutmeg"
"ANISE (See also Anise, Star, and Fennel)","nuts"
"ANISE (See also Anise, Star, and Fennel)","orange"
"ANISE (See also Anise, Star, and Fennel)","parsnips"
"ANISE (See also Anise, Star, and Fennel)","peaches"
"ANISE (See also Anise, Star, and Fennel)","pears"
"ANISE (See also Anise, Star, and Fennel)","pepper"
"ANISE (See also Anise, Star, and Fennel)","pickles"
"ANISE (See also Anise, Star, and Fennel)","pineapple"
"ANISE (See also Anise, Star, and Fennel)","plums"
"ANISE (See also Anise, Star, and Fennel)","pork"
"ANISE (See also Anise, Star, and Fennel)","Portuguese cuisine"
"ANISE (See also Anise, Star, and Fennel)","Provençal cuisine (French)"
"ANISE (See also Anise, Star, and Fennel)","prunes"
"ANISE (See also Anise, Star, and Fennel)","pumpkin"
"ANISE (See also Anise, Star, and Fennel)","quince"
"ANISE (See also Anise, Star, and Fennel)","raisins"
"ANISE (See also Anise, Star, and Fennel)","rhubarb"
"ANISE (See also Anise, Star, and Fennel)","salumi"
"ANISE (See also Anise, Star, and Fennel)","sauerkraut"
"ANISE (See also Anise, Star, and Fennel)","Scandinavian cuisine"
"ANISE (See also Anise, Star, and Fennel)","shellfish"
"ANISE (See also Anise, Star, and Fennel)","soups, esp. fish"
"ANISE (See also Anise, Star, and Fennel)","star anise"
"ANISE (See also Anise, Star, and Fennel)","STEWS, ESP. FISH"
"ANISE (See also Anise, Star, and Fennel)","strawberries"
"ANISE (See also Anise, Star, and Fennel)","sugar"
"ANISE (See also Anise, Star, and Fennel)","sweet potatoes"
"ANISE (See also Anise, Star, and Fennel)","tea"
"ANISE (See also Anise, Star, and Fennel)","vanilla"
"ANISE (See also Anise, Star, and Fennel)","vegetables, root"
"ANISE (See also Anise, Star, and Fennel)","Vietnamese cuisine"
"ANISE (See also Anise, Star, and Fennel)","walnuts"
"ANISE HYSSOP","Season: late spring–summer"
"ANISE HYSSOP","Taste: sweet"
"ANISE HYSSOP","Weight: light–medium"
"ANISE HYSSOP","Volume: quiet–moderate"
"ANISE HYSSOP","apricots"
"ANISE HYSSOP","basil"
"ANISE HYSSOP","beans, green"
"ANISE HYSSOP","beets"
"ANISE HYSSOP","berries, esp. blueberries"
"ANISE HYSSOP","beverages"
"ANISE HYSSOP","carrots"
"ANISE HYSSOP","cherries"
"ANISE HYSSOP","chervil"
"ANISE HYSSOP","chicken"
"ANISE HYSSOP","cream and ice cream"
"ANISE HYSSOP","currants"
"ANISE HYSSOP","custards"
"ANISE HYSSOP","desserts"
"ANISE HYSSOP","fennel bulb"
"ANISE HYSSOP","fish"
"ANISE HYSSOP","FRUITS, ESP. SUMMER"
"ANISE HYSSOP","honey"
"ANISE HYSSOP","lavender"
"ANISE HYSSOP","lemon"
"ANISE HYSSOP","lychees"
"ANISE HYSSOP","marjoram"
"ANISE HYSSOP","melons"
"ANISE HYSSOP","mint"
"ANISE HYSSOP","nectarines"
"ANISE HYSSOP","oranges"
"ANISE HYSSOP","parsley"
"ANISE HYSSOP","parsnips"
"ANISE HYSSOP","peaches"
"ANISE HYSSOP","pears"
"ANISE HYSSOP","plums"
"ANISE HYSSOP","pork"
"ANISE HYSSOP","raspberries"
"ANISE HYSSOP","rice"
"ANISE HYSSOP","salads: fruit, green"
"ANISE HYSSOP","shellfish (e.g., shrimp)"
"ANISE HYSSOP","shrimp"
"ANISE HYSSOP","spinach"
"ANISE HYSSOP","squash, winter"
"ANISE HYSSOP","stone fruits (e.g., peaches)"
"ANISE HYSSOP","sweet potatoes"
"ANISE HYSSOP","tarragon"
"ANISE HYSSOP","teas"
"ANISE HYSSOP","tomatoes"
"ANISE HYSSOP","vegetables, root"
"ANISE HYSSOP","watermelon"
"ANISE HYSSOP","zucchini"
"ANISE, STAR","Taste: sweet, bitter"
"ANISE, STAR","Weight: medium"
"ANISE, STAR","Volume: moderate–loud"
"ANISE, STAR","Tips: Add at the beginning of the cooking process. Use in stir-fries."
"ANISE, STAR","allspice"
"ANISE, STAR","baked goods (e.g., breads, pastries)"
"ANISE, STAR","beef"
"ANISE, STAR","beverages"
"ANISE, STAR","cardamom"
"ANISE, STAR","chestnuts"
"ANISE, STAR","chicken"
"ANISE, STAR","chile peppers"
"ANISE, STAR","chili powder"
"ANISE, STAR","CHINESE CUISINE"
"ANISE, STAR","chocolate, esp. milk"
"ANISE, STAR","cinnamon"
"ANISE, STAR","citrus zest"
"ANISE, STAR","cloves"
"ANISE, STAR","coriander"
"ANISE, STAR","cumin"
"ANISE, STAR","curry powder (ingredient)"
"ANISE, STAR","duck"
"ANISE, STAR","eggs"
"ANISE, STAR","fennel seeds"
"ANISE, STAR","figs"
"ANISE, STAR","fish"
"ANISE, STAR","FIVE-SPICE POWDER"
"ANISE, STAR","fruits, esp. tropical"
"ANISE, STAR","garlic"
"ANISE, STAR","ginger"
"ANISE, STAR","Indian cuisine"
"ANISE, STAR","kumquats"
"ANISE, STAR","leeks"
"ANISE, STAR","lemongrass"
"ANISE, STAR","lime, zest"
"ANISE, STAR","liqueurs"
"ANISE, STAR","mace"
"ANISE, STAR","Malaysian cuisine"
"ANISE, STAR","mangoes"
"ANISE, STAR","maple syrup"
"ANISE, STAR","meats, esp. fatty"
"ANISE, STAR","nutmeg"
"ANISE, STAR","orange, zest"
"ANISE, STAR","oxtails"
"ANISE, STAR","pears, esp. poached"
"ANISE, STAR","pepper: black, Szechuan"
"ANISE, STAR","pineapple"
"ANISE, STAR","plums, esp. poached"
"ANISE, STAR","pork"
"ANISE, STAR","poultry"
"ANISE, STAR","pumpkin"
"ANISE, STAR","raspberries"
"ANISE, STAR","root vegetables"
"ANISE, STAR","salmon"
"ANISE, STAR","sauces"
"ANISE, STAR","scallions"
"ANISE, STAR","scallops"
"ANISE, STAR","shellfish"
"ANISE, STAR","shrimp"
"ANISE, STAR","soups"
"ANISE, STAR","soy sauce"
"ANISE, STAR","stews"
"ANISE, STAR","stocks: beef, chicken"
"ANISE, STAR","sweet potatoes"
"ANISE, STAR","tamarind"
"ANISE, STAR","teas"
"ANISE, STAR","tuna"
"ANISE, STAR","turmeric"
"ANISE, STAR","vanilla"
"ANISE, STAR","vegetables, esp. root"
"ANISE, STAR","Vietnamese cuisine (e.g.,pho)"
"ANISE, STAR","wine, rice"
"ANISE, STAR","Flavor Affinities"
"ANISE, STAR","star anise + cream + maple"
"ANISE, STAR","star anise + milk + milk chocolate + orange zest + sugar"
"ANISE, STAR","star anise + pork + soy sauce + sugar"
"APPETIZERS","Tips: Saltiness stimulates appetite."
"APPETIZERS","Serve small portions so as not to satiate the appetite too early in a meal."
"APPETIZERS","Accompany appetizers with light-bodied wines."
"APPLES","Season: autumn"
"APPLES","Taste: sweet, astringent"
"APPLES","Function: cooling"
"APPLES","Weight: medium"
"APPLES","Volume: quiet–moderate"
"APPLES","Techniques: bake, caramelize, deep-fry (e.g., as fritters), grill, poach, raw, sauté, stew"
"APPLES","allspice"
"APPLES","almonds"
"APPLES","apple cider or juice"
"APPLES","applejack"
"APPLES","apricots: dried, jam, puree"
"APPLES","Armagnac"
"APPLES","bacon"
"APPLES","bay leaf"
"APPLES","beef"
"APPLES","blackberries"
"APPLES","bourbon"
"APPLES","brandy, esp. apple"
"APPLES","brioche"
"APPLES","BUTTER, UNSALTED"
"APPLES","butterscotch"
"APPLES","cabbage, red"
"APPLES","CALVADOS"
"APPLES","CARAMEL"
"APPLES","cardamom"
"APPLES","celery"
"APPLES","celery root"
"APPLES","cheese: Camembert, cheddar, goat, Gruyère"
"APPLES","cherries: dried, fresh"
"APPLES","chestnuts"
"APPLES","chicken"
"APPLES","chives"
"APPLES","cider"
"APPLES","*CINNAMON"
"APPLES","cloves"
"APPLES","cognac"
"APPLES","Cointreau"
"APPLES","coriander"
"APPLES","cranberries"
"APPLES","CREAM AND ICE CREAM"
"APPLES","crème anglaise (sauce)"
"APPLES","crème fraîche"
"APPLES","crust: pastry, pie"
"APPLES","cumin"
"APPLES","currants, esp. black, and currant jelly"
"APPLES","curry powder"
"APPLES","custards"
"APPLES","dates"
"APPLES","duck"
"APPLES","eggplant"
"APPLES","fennel"
"APPLES","French cuisine, esp. from Normandy"
"APPLES","frisée"
"APPLES","ginger"
"APPLES","goose"
"APPLES","hazelnuts"
"APPLES","honey, esp. chestnut, wildflower"
"APPLES","horseradish"
"APPLES","ice cream"
"APPLES","Kirsch"
"APPLES","lavender"
"APPLES","LEMON: JUICE, ZEST"
"APPLES","lemon thyme"
"APPLES","lychees"
"APPLES","Madeira"
"APPLES","maple syrup"
"APPLES","mayonnaise"
"APPLES","meringue"
"APPLES","molasses"
"APPLES","mustard"
"APPLES","nutmeg"
"APPLES","nuts"
"APPLES","oatmeal and oats"
"APPLES","oil: canola, hazelnut, walnut"
"APPLES","olive oil"
"APPLES","onions, esp. green, red"
"APPLES","orange: juice, zest"
"APPLES","parsley"
"APPLES","peanuts and peanut butter"
"APPLES","pears"
"APPLES","pecans"
"APPLES","pepper, black"
"APPLES","pies"
"APPLES","pineapple"
"APPLES","pine nuts"
"APPLES","pistachios"
"APPLES","plums"
"APPLES","pomegranates"
"APPLES","pork"
"APPLES","poultry"
"APPLES","prunes"
"APPLES","puff pastry"
"APPLES","pumpkin"
"APPLES","quince"
"APPLES","raisins, esp. seedless, white"
"APPLES","rhubarb"
"APPLES","rice and rice pudding"
